latitude,longitude,cluster
-22.15999,-60.98601,102
-22.16128,-60.99643,102
-4.53899,-55.80117,1252
-22.15674,-60.99177,102
-22.15738,-60.99698,102
-5.20952,-60.13285,271
-21.96785,-60.1615,121
-3.38733,-49.00605,1212
-20.20215,-50.04308,99
-20.20303,-50.04765,99
-4.56225,-56.04553,1253
-21.75638,-60.09911,121
-3.34357,-48.82925,1260
-21.47779,-58.91238,97
-4.45349,-55.42564,1422
-4.34156,-54.7694,1143
-21.23641,-59.11224,97
-4.51949,-55.90567,1252
-21.04636,-58.0666,101
-4.51556,-55.90632,1252
-5.15736,-60.00671,271
-21.04186,-58.05945,101
-4.34287,-54.76952,1143
-4.43521,-55.38529,1421
-21.04241,-58.0633,101
-21.03902,-58.06385,101
-4.51714,-55.90928,1252
-21.53956,-62.28888,98
-4.42946,-55.37523,1421
-4.43058,-55.38234,1421
-4.42538,-55.37582,1421
-21.54003,-62.29292,98
-4.42594,-55.3794,1421
-20.67846,-56.13093,-1
-4.4265,-55.38298,1421
-4.42763,-55.39018,1421
-21.87459,-66.34496,-1
-4.44052,-55.47213,1399
-4.44107,-55.47563,1399
-19.16837,-49.34739,91
-3.86949,-51.95594,1433
-20.61419,-57.87078,101
-3.38529,-49.0058,1212
-3.34912,-48.8275,1260
-19.1674,-49.34569,91
-3.85002,-51.86908,1381
-20.32865,-57.34254,101
-3.85053,-51.87221,1381
-3.34271,-48.8285,1260
-3.87267,-52.04086,1434
-20.40911,-58.79412,115
-4.16874,-53.87109,1162
-20.40967,-58.79809,115
-4.37798,-55.18223,1473
-20.41023,-58.80206,115
-20.40566,-58.79467,115
-4.37856,-55.1859,1473
-20.40678,-58.80261,115
-3.52787,-49.97917,-1
-20.4051,-58.7907,115
-20.40622,-58.79864,115
-3.66058,-50.85105,1429
-20.40165,-58.79125,115
-20.40333,-58.80315,115
-4.12065,-53.65984,1160
-3.54754,-50.20666,-1
-20.3982,-58.79179,115
-20.39932,-58.79972,115
-3.84035,-51.97317,1433
-20.39988,-58.8037,115
