latitude,longitude,cluster,distance
-4.01078,-50.3864,129,6.8155490763e-05
-22.93271,-56.19707,128,6.125106546e-05
-3.88177,-49.69186,130,6.8165785659e-05
-23.30946,-59.09436,-1,inf
-3.88242,-49.69572,130,6.8165785659e-05
-23.22512,-58.75945,-1,inf
-3.77388,-49.0938,-1,inf
-23.00793,-57.48636,-1,inf
-23.06721,-58.25673,131,6.1030817733e-05
-3.87632,-49.69621,132,7.0142441459e-05
-3.77301,-49.08871,-1,inf
-23.06319,-58.25321,131,6.608395825e-05
-3.87564,-49.69224,132,7.0142441459e-05
-23.06375,-58.25728,131,6.1030817733e-05
-4.09797,-51.07727,-1,inf
-23.32601,-60.4293,133,4.7477428468e-05
-4.0925,-51.07825,-1,inf
-4.0894,-51.09323,-1,inf
-23.32794,-60.42664,133,5.4332906239e-05
-23.32411,-60.42718,133,4.7477428468e-05
-3.8583,-49.77156,134,4.0359543062e-05
-22.66347,-56.49493,-1,inf
-4.85643,-55.80956,-1,inf
-23.12045,-59.88766,-1,inf
-3.856,-49.77132,134,4.0359543062e-05
-23.13086,-59.96832,-1,inf
-4.88303,-56.20632,-1,inf
-23.10384,-59.8469,-1,inf
-4.05329,-51.11561,-1,inf
-4.02406,-51.00662,-1,inf
-3.95745,-50.63903,-1,inf
-22.7397,-57.21936,-1,inf
-4.01846,-51.00704,-1,inf
-4.78853,-55.98523,135,6.8866875937e-05
-4.78465,-55.98595,135,6.8866875937e-05
-22.73353,-57.2243,136,5.9528997977e-05
-4.13428,-52.15471,137,4.0626498311e-05
-22.73016,-57.22487,136,5.9528997977e-05
-22.73072,-57.22868,136,6.2106304539e-05
-23.08863,-59.96487,-1,inf
-4.1348,-52.1578,137,4.1003987265e-05
-4.13376,-52.15167,137,4.0278601385e-05
-23.07167,-60.13387,138,4.608810195e-05
-3.78611,-50.15134,139,3.600405382e-05
-23.07229,-60.13666,138,4.608810195e-05
-22.96511,-59.51843,-1,inf
-3.78682,-50.15545,139,3.5577372371e-05
-22.96503,-59.92344,-1,inf
-3.90992,-50.87029,140,6.3583261406e-05
-22.64859,-57.74524,141,6.3733556681e-05
-3.91053,-50.87389,140,6.3583261406e-05
-22.64915,-57.74915,141,6.3733556681e-05
-3.92996,-50.98712,-1,inf
-4.12865,-52.15242,137,5.0003221194e-05
-4.12917,-52.15545,137,4.9627020322e-05
