latitude,longitude,cluster
-4.35962,-55.19978,173
-20.37516,-58.80353,171
-4.40286,-55.47028,-1
-20.37572,-58.8075,171
-20.37227,-58.80804,171
-20.37171,-58.80407,171
-4.42808,-55.62834,176
-20.37116,-58.80011,171
-20.36771,-58.80065,171
-4.42877,-55.63268,176
-4.43373,-55.66385,-1
-20.36826,-58.80462,171
-3.86026,-52.15816,177
-20.36882,-58.80859,171
-4.40836,-55.53066,178
-3.29984,-48.80861,83
-20.37327,-58.84038,179
-20.37383,-58.84436,179
-3.48728,-49.91943,-1
-20.36981,-58.84093,179
-20.37037,-58.84491,179
-3.63308,-50.78978,-1
-20.23287,-58.38569,180
-3.82946,-51.97176,-1
-20.22891,-58.38239,180
-20.22947,-58.38624,180
-3.86076,-52.16119,177
-20.22606,-58.38679,180
-20.1928,-58.6703,181
-4.39197,-55.42816,-1
-20.18936,-58.67084,181
-20.19004,-58.67039,181
-4.40892,-55.53415,178
-20.18661,-58.67094,181
-4.4156,-55.57593,182
-20.18486,-58.68324,183
-20.1843,-58.67932,183
-4.41616,-55.57944,182
-20.18143,-58.68378,183
-20.18198,-58.68769,183
-2.97288,-46.93416,-1
-20.17688,-58.67648,184
-20.17743,-58.6804,184
-20.174,-58.68095,184
-20.15073,-58.64062,-1
-4.35549,-55.22678,185
-17.52261,-44.97239,-1
-4.35609,-55.2305,185
-4.40435,-55.53141,178
-4.42073,-55.63378,-1
-18.82581,-51.45964,-1
-3.48265,-49.96465,-1
-3.76507,-51.64866,-1
-20.63408,-64.1303,-1
-4.40756,-55.57728,186
-4.40813,-55.58079,186
-19.1571,-54.36722,187
-20.54111,-64.37717,-1
-19.15356,-54.36784,187
-17.99335,-48.42166,188
-17.99093,-48.42091,188
-17.99156,-48.4241,188
-3.57082,-50.52303,-1
-20.43672,-64.35434,-1
-20.43152,-64.35049,189
-3.84024,-52.16427,190
-20.43198,-64.35464,189
-3.56506,-50.5238,-1
-17.39502,-45.92131,-1
-3.83975,-52.16129,190
-4.12047,-53.86015,-1
-17.89429,-48.53131,-1
-3.82658,-52.11389,191
-3.82709,-52.11698,191
-19.80958,-60.17123,-1
-3.1349,-48.08147,192
-19.46624,-60.0455,193
-3.65089,-51.10041,-1
-3.13593,-48.0874,192
-19.46264,-60.04603,193
-3.51606,-50.30474,194
-19.45905,-60.04657,193
-4.34081,-55.26652,195
-18.16041,-52.29311,196
-3.8364,-52.23545,197
-3.77475,-51.86815,-1
-18.15548,-52.28852,-1
-18.15644,-52.29388,196
-3.83688,-52.23832,197
-17.32693,-48.29172,198
-4.33669,-55.26711,195
-3.25922,-48.87909,199
-17.32724,-48.29337,198
-3.7695,-51.86887,200
-19.6799,-63.17922,-1
-4.37887,-55.55294,-1
-3.72859,-51.69083,201
-19.57669,-62.78642,202
-4.14316,-54.1658,203
-19.57622,-62.7824,202
-4.31913,-55.31425,204
-19.88931,-65.8615,205
